id,para_id,surah_id,verse_id,name_id
866,19,26,41,44
867,19,26,46,44
868,19,26,49,44
869,19,26,153,44
870,19,26,185,44
871,19,27,13,44
872,20,28,36,44
873,20,28,48,44
874,22,34,43,44
875,23,37,15,44
876,25,43,30,44
877,26,46,7,44
878,27,52,15,44
879,27,54,2,44
880,27,54,34,44
881,28,61,6,44
882,29,74,24,44
883,2,2,240,45
884,8,6,139,45
885,13,13,23,45
886,14,16,72,45
887,18,23,6,45
888,19,25,74,45
889,19,26,166,45
890,21,33,28,45
891,22,33,37,45
892,22,33,50,45
893,22,33,59,45
894,24,40,8,45
895,28,60,11,45
896,28,64,14,45
897,28,66,1,45
898,28,66,3,45
899,29,70,30,45
900,4,3,144,46
901,22,33,40,46
902,26,48,29,46
903,5,4,36,47
904,1,2,83,48
905,2,2,177,48
906,2,2,215,48
907,4,4,8,48
908,5,4,36,48
909,10,8,41,48
910,28,59,7,48
911,5,4,127,48
912,2,2,220,48
913,4,4,2,48
914,4,4,3,48
915,4,4,6,48
916,4,4,10,48
917,29,76,8,48
918,30,90,15,48
919,30,93,6,48
920,30,89,17,48
921,30,93,9,48
922,30,107,2,48
923,4,4,12,49
924,6,4,171,49
925,2,2,233,49
926,26,46,15,49
927,4,4,11,49
928,7,5,110,49
929,6,4,176,49
930,27,57,20,49
931,5,4,127,49
932,8,6,151,49
933,12,12,21,49
934,5,4,36,49
935,10,9,69,49
936,21,31,33,49
937,5,4,75,49
938,1,2,83,49
939,15,17,23,49
940,28,58,2,49
941,26,46,17,49
942,11,10,68,49
943,26,46,17,49
944,11,10,68,49
945,8,6,137,49
946,2,2,215,49
947,20,29,8,49
948,15,17,64,49
949,22,34,37,49
950,18,23,91,49
951,4,4,7,49
952,5,4,33,49
953,8,6,140,49
954,3,3,47,49
955,28,64,14,49
956,10,9,55,49
957,15,17,111,49
958,4,3,116,49
959,2,2,180,49
960,21,31,14,49
961,28,63,9,49
962,10,9,85,49
963,7,6,101,49
964,18,25,2,49
965,20,28,9,49
966,15,18,39,49
967,3,3,10,49
968,28,58,17,49
969,2,2,250,50
970,9,7,126,50
971,15,18,67,50
972,16,18,75,50
973,16,18,78,50
974,16,18,82,50
975,29,70,5,50
976,1,2,45,50
977,2,2,153,50
978,30,90,17,50
979,30,103,3,50
980,4,3,120,50
981,4,3,125,50
982,4,3,186,50
983,5,4,25,50
984,17,52,16,50
985,2,2,155,50
986,2,2,177,50
987,2,2,249,50
988,3,3,17,50
989,4,3,142,50
990,4,3,146,50
991,10,8,46,50
992,10,8,66,50
993,17,21,85,50
994,17,22,35,50
995,22,33,35,50
996,23,37,102,50
997,26,47,31,50
998,4,3,200,50
999,8,7,87,50
1000,9,7,128,50
1001,10,8,46,50
1002,23,38,6,50
1003,27,52,16,50
1004,1,2,3,51
1005,1,2,43,51
1006,1,2,83,51
1007,1,2,110,51
1008,2,2,177,51
1009,3,2,277,51
1010,5,4,43,51
1011,5,4,77,51
1012,5,4,102,51
1013,5,4,103,51
1014,6,4,162,51
1015,6,5,12,51
1016,6,5,55,51
1017,7,6,72,51
1018,9,7,170,51
1019,9,8,3,51
1020,10,9,5,51
1021,10,9,11,51
1022,10,9,18,51
1023,10,9,54,51
1024,10,9,71,51
1025,11,10,87,51
1026,12,11,114,51
1027,13,13,22,51
1028,13,14,31,51
1029,13,14,37,51
1030,15,17,78,51
1031,16,19,59,51
1032,16,20,14,51
1033,17,22,41,51
1034,17,22,78,51
1035,18,24,56,51
1036,19,27,3,51
1037,20,29,45,51
1038,21,30,31,51
1039,21,31,4,51
1040,21,31,17,51
1041,22,33,33,51
1042,22,35,18,51
1043,22,35,29,51
1044,25,42,38,51
1045,28,58,13,51
1046,29,73,20,51
1047,30,98,5,51
1048,2,2,185,52
1049,5,4,82,52
1050,7,5,101,52
1051,7,6,19,52
1052,9,7,204,52
1053,11,9,111,52
1054,11,10,37,52
1055,12,12,3,52
1056,14,15,87,52
1057,14,15,91,52
1058,14,16,98,52
1059,15,17,9,52
1060,15,17,41,52
1061,15,17,45,52
1062,15,17,46,52
1063,15,17,60,52
1064,15,17,82,52
1065,15,17,88,52
1066,15,17,89,52
1067,15,18,54,52
1068,16,20,2,52
1069,16,20,114,52
1070,19,25,30,52
1071,19,25,32,52
1072,19,27,1,52
